SYMBOL	gs_name
THEMIS2	G3_mono_macro
SNX8	G3_mono_macro
CCL3L1	G3_mono_macro
FUCA2	G3_mono_macro
NQO2	G3_mono_macro
FNDC3B	G3_mono_macro
RIPK2	G3_mono_macro
EIF4EBP1	G3_mono_macro
BCKDK	G3_mono_macro
GNS	G3_mono_macro
SCPEP1	G3_mono_macro
NAGA	G3_mono_macro
ASAH1	G3_mono_macro
BEST1	G3_mono_macro
ICAM1	G3_mono_macro
ODF3B	G3_mono_macro
ACP2	G3_mono_macro
LAT2	G3_mono_macro
DPYSL2	G3_mono_macro
TPMT	G3_mono_macro
GM2A	G3_mono_macro
PRCP	G3_mono_macro
HSPA6	G3_mono_macro
VAMP3	G3_mono_macro
NIPSNAP3A	G3_mono_macro
FGD2	G3_mono_macro
AP1S2	G3_mono_macro
PEA15	G3_mono_macro
CAPG	G3_mono_macro
CTNNA1	G3_mono_macro
ASPH	G3_mono_macro
SLC39A8	G3_mono_macro
SLC41A2	G3_mono_macro
NOD2	G3_mono_macro
ANXA4	G3_mono_macro
C20orf27	G3_mono_macro
FAM49A	G3_mono_macro
LIPA	G3_mono_macro
TNFRSF1A	G3_mono_macro
FUOM	G3_mono_macro
ZMIZ1	G3_mono_macro
EMR2	G3_mono_macro
RALB	G3_mono_macro
SLC25A19	G3_mono_macro
CYSTM1	G3_mono_macro
SOD2	G3_mono_macro
TNS3	G3_mono_macro
CD151	G3_mono_macro
PLIN3	G3_mono_macro
XXbac-BPG181M17.5	G3_mono_macro
NINJ1	G3_mono_macro
HSD17B4	G3_mono_macro
DUSP6	G3_mono_macro
COMMD9	G3_mono_macro
GK	G3_mono_macro
AGPAT2	G3_mono_macro
PGD	G3_mono_macro
SH2B3	G3_mono_macro
NAGK	G3_mono_macro
ATF3	G3_mono_macro
FKBP15	G3_mono_macro
GNG10	G3_mono_macro
LGALS3BP	G3_mono_macro
GSAP	G3_mono_macro
SLC16A3	G3_mono_macro
AMPD2	G3_mono_macro
SCO2	G3_mono_macro
LGALS3	G3_mono_macro
BID	G3_mono_macro
MYO1E	G3_mono_macro
SKAP2	G3_mono_macro
PAPSS1	G3_mono_macro
TYMP	G3_mono_macro
TMEM106A	G3_mono_macro
NAIP	G3_mono_macro
C9orf72	G3_mono_macro
PLOD3	G3_mono_macro
DOK1	G3_mono_macro
